houses,committee,speaker,date,speech_order,speech_text
衆議院,厚生労働委員会,丹羽秀樹,20161021,1,これより会議を開きます。厚生労働関係の基本施策に関する件について調査を進めます。この際、お諮りいたします。本件調査のため、本日、政府参考人として内閣府子ども・子育て本部審議官中島誠君、厚生労働省医薬・生活衛生局長武田俊彦君、労働基準局長山越敬一君、職業安定局派遣・有期労働対策部長鈴木英二郎君、雇用均等・児童家庭局長吉田学君、社会・援護局障害保健福祉部長堀江裕君、保険局長鈴木康裕君、年金局長鈴木俊彦君、原子力規制庁原子力規制部長櫻田道夫君の出席を求め、説明を聴取いたしたいと存じますが、御異議ありませんか。〔「異議なし」と呼ぶ者あり〕
衆議院,厚生労働委員会,丹羽秀樹,20161021,2,御異議なしと認めます。よって、そのように決しました。
衆議院,厚生労働委員会,丹羽秀樹,20161021,3,質疑の申し出がありますので、順次これを許します。田村憲久君。
衆議院,厚生労働委員会,田村憲久,20161021,4,おはようございます。自民党の田村憲久でございます。きょうは、大臣への質疑、所信に対する質疑ということで、久しぶりといいますか、そちらで答弁したことはあったんですけれども、久々にこちらから御質問をさせていただきたいというふうに思います。この間、大臣所信、それに対する質疑、与野党でいろいろな形で、すんなりとはセットできなかった。それにはいろいろな事情があるわけでありますが、その中の一つに、年金の法案に関して、特に年金カット法案だというようなレッテルを野党の方々、一部でありますけれども、これを言われるんですね。それはまた後でお話しします。これは、こういう形、レアケースといいますか、本来想定していなかったケース、要は、名目、実質とも賃金がマイナスになるというようなことが起こった場合、こういう場合に何ら措置が今まで現行法律はされていなかったということであって、それを穴を埋めるというような、そういう今回改正をするということであると私は理解をいたしております。過去十年で数回そういうことがあった、年金財政を毀損させた、そういうことであるわけでありますが、アベノミクスによって賃金が上がり出してくればそういうことは当然起こらないわけでありまして、こういう想定は起こらないわけですね。でありますから、本来はこのようなことがあってはならないんですけれども、あってはならないといって、あったわけですから、その穴をちゃんと埋めるのは当然でありまして、これはまさに将来に向かってまたこのようなことが起こったときに年金財政を毀損させないための機能を強化するための法案、改正だというふうに私は思っておりますが、まず、そのような認識でいいか、お答えを局長からいただきたいと思います。
衆議院,厚生労働委員会,鈴木俊彦,20161021,5,お答え申し上げます。御存じのように、年金は、将来年金を受給いたします現在の若い方たちが現在年金を受けておられる世代に仕送りをするという助け合いの仕組み、賦課方式でございまして、限られた財源を適切に配分する、世代間の分かち合いの仕組みでございます。こうしたルールのもとで、仮に、現在の若い人たちの賃金が下がって、先ほど先生がお示しのような事態が起きたような場合、現在年金を受給している方々の年金水準は維持される一方で、現在の若い人たちは、賃金も下がり、将来受け取る自分たちの年金水準も低くなる、いわば二重の苦しみになる可能性がございます。そこで、今回の見直しは、このような、先生がお示しのような事態が仮に起きた場合にも、現在の年金額も若い人たちの賃金の変化に合わせて改定する、こうしたことで世代間の公平を確保し、将来世代の年金水準を確保するということで、先生お示しのような概念に基づくものでございます。
衆議院,厚生労働委員会,田村憲久,20161021,6,このような事態が起こったときに、今までは物価スライドで年金を動かしていたものを、賃金の方、下がった賃金の方でスライドさせる、賃スラにするということで、このような形で、今までから、そこはあいていた穴を埋めるということになったわけであります。これに関して民進党さんから、過去十年間、過去十年でもしこの法律が適用されて、物価、賃金ともに下がる等々を含めて、要するに、名目、実質で賃金が下がった場合、この場合に、仮に今の法案を適用していたらどんなことが現状起こっていたのか。そして、それに対して大臣は、将来こんなことが起こりますよというような、そういう試算を出されまして、新聞に出ました。現状で約三％ぐらい基礎年金が下がる、ただし、将来でありますが、二〇四〇年ごろに、これが七％上がる、二〇三七年でしたか、こういうような話になったわけであります。ただ、これはちょっと国民の皆さんが誤解しちゃうんですよ、何かこの法律が通ったら、これから年金が下がって、将来の人が上がると。そんなことはあり得ないですよね。だって、この法案は、こういう状況が起こらないとこれは発動されない、そういう話ですよね、今までと同じなんですから。しかも、過去十年、デフレ下において、六回という話がありましたけれども、こんなことがあったわけであって、それはもう事実として起こっている事象なんですよ。起こっている事象を、こんな仮定を置いたら今がどうで将来がどうだなんて、ちょっと誤解を招くので、本来は、このような経済状況を起こさせないというのが一番重要なところでありますから、そこは絶対に我々は忘れちゃいけないのと、国民の皆さんには、決してこの法案が通っても年金が下がるという話じゃなく、また将来上がるという話じゃなくて、不測の事態が起こったときに本来の年金の水準を維持する。もし不測の事態が、このような状況が起これば、本来、今約束されているような所得代替率が維持できませんから、それをちゃんと維持するための、あいていた穴を塞いだ、そういうような法案であるというふうに私は認識しております。その上で、三％下がって七％上がるのはおかしいと。つまり、十年前にこの法律が通っていれば、現状で基礎年金が三％下がって、二〇三七年には七％も上がっている、これがどうもおかしいじゃないかというようなことを言われる。数字が合わない。どう考えたって、こんな単純計算、何か、将来そんなに得するわけないじゃないか、一体これは正しい数字なのかというような御質問があったやに聞きますけれども、これに対して明確なる、なぜこのようなことが起こるのか、お答えをお願いいたしたいと思います。
衆議院,厚生労働委員会,鈴木俊彦,20161021,7,お答え申し上げます。今先生、言っていただいたように、今回の試算は、民進党からのお求めに応じまして、仮に今回の額改定ルールの見直しが平成十七年度から実施されていたとした場合の、仮定の機械的な試算を行ったものでございます。その上で、今回の試算で改めて確認されたことは、いわば世代間の分かち合いの仕組みが年金制度でございますので、足元の年金水準が低下すると将来の年金水準が上昇するということでございます。具体的には、今回の試算では、今の高齢者の年金の水準が、約十年間の経済状況の累積の影響で三％低下していたと見込まれるわけでございますけれども、一方で現役世代の将来の基礎年金の水準が七％程度上昇する、こういう結果でございます。なぜこういう結果になったのかということでございますけれども、これは今回の改定ルールの見直しを行った場合、見直しを行わなかった場合との間に差の部分の財源が生じます。この財源を活用して将来の年金水準の上昇につなげることができる、これが基本構造でございます。その上で、三％と七％の関係につきましては三つの要因がございます。第一に、こうした見直しを行うことによりまして、マクロ経済スライドのかかる期間、いわゆる調整期間と申しておりますけれども、これが六年間短縮することができます。第二に、年金受給者が将来的には減っていくということを勘定に入れなければいけないということでございます。具体的には、足元で、二〇一六年現在、年金受給者三千二百六十万人いらっしゃいますけれども、二〇四〇年代以降、人口減少に伴いまして受給者数が減少するわけでございまして、見通しとして、二一一〇年の受給者数は現在の半分程度、約千六百四十万人になります。したがいまして、見直しを行うことによって生じた財源の効果が将来の数が減る受給者に活用できますので、それだけ高い効果が得られるということでございます。さらに、この見直しによりまして生じました差分の財源は、年金財政上、積立金として運用収入が発生いたしますので、この分も含めて将来の給付に充てることができる。以上の三点の要因によりまして、三％と七％の関係が御説明できるというふうに考えてございます。
衆議院,厚生労働委員会,田村憲久,20161021,8,明確だと思いますね。一つは特例水準というものがあったと思います。これは本来、物スラのときに、物価がマイナスになったときに年金も下げなきゃいけなかった。ところが、それをやらなかったんですね。そのたまりがあった。これも、今回の想定では、そもそもそんなものはなくなるわけですから、十年前に賃スラを入れていれば。ですから、それもない。さらには、今言った物スラと賃スラの差額分、これがなくなっちゃうわけでありまして、そういうものが積立金に積み上がるということは、これがずっと運用されるんですね、賃金プラス一・七％で。これは非常に大きいと思います。そして、将来の給付する人数が急速に減っていく。結果、先ほど言いましたマクロ経済スライドが終わるのが早まるんですね。ですから、当然、六年早まれば、今それだけで一％ぐらいマクロ経済スライドがかかっているはずですから、単純に見てもこれだけでも六％、これは言うなれば上がる、代替率が上がるというふうに考えればいいわけでありまして、非常に私は明確だというふうに思います。その上で、今回、物価スライドから賃金スライドにしたものですから、下がったときに。これで、物価が上がったときよりも賃金の上がりが少ないわけでしょう。物価が下がったとき、ごめんなさい、物価の下がりよりも、まあ、上がる場合もありますけれども、物価が上がって賃金が下がっていた場合には、これは生活が苦しくなるじゃないか、物価が上がっているのに賃金が下がったからそれに合わせたら。こういう話なんです。そもそも我々は物価スライドを中心にやってきた。ところが、民主党さんの実は例の最低保障年金案ですけれども、これですけれども、賃金スライドでやっているんですね、民主党さんは、もともと。ということは、我々の先取りをして、今回のようなことが起これば、民主党は、やはり物価が上がっていても賃金が下がっていれば給付が下がるんですよ。つまり、すばらしい、我々の穴をちゃんと埋めている法律を民主党は提案されていた。この部分に関しては御炯眼だったというふうに我々は思いますね。さらにもっと言えば、我々は、マクロ経済スライド調整率というのがここにあります。ところが、これは実は二〇四三年で終わるんですけれども、民進党さんは賃スラをかけた上に十五歳から六十四歳、生産年齢人口の減少率掛けるアルファ、これは係数です、つまり出と入りを均衡させるための係数を掛けて、それを引くんですね。つまり、賃スラ以上に下がるんです。我々は、物価がマイナスですと、これはそもそもかかりませんから、マクロ経済スライド。ここだけになっちゃうんですね。どちらが下がるかというと、実は今回のようなことが起これば民主党さんの法律の方が下がっちゃうということがこれを見ればわかるんです。これは明白な事実ですから、もし反論があるんならば、今は民進党さんにかわられましたけれども、御反論を後ほどしていただければ結構だというふうに思います。ただ、違うところがあるんです。上がるときは民進党は確かに賃金で上がります。我々は基本的に物価でしか上がりませんから、物価より賃金が上がった場合には民進党は上がる。つまり……（発言する者あり）そうなんです。そのとおりなんです。大西議員、そのとおりなんです。これは財政上、入ってくる保険料、それから税金、それと出ていく年金、この入りと出を均衡させるために、これは要するに、マクロ計算して合わせるようになっているわけで、やり方は違いますけれども、合わせるようにするためにいろいろな工夫をしている。結果的に民進党さんは延々と所得代替率は出ません、ずっと下がり続けますから。自民党はここでとまりますから、二〇四三年に。だから、一定所得層で所得代替率五〇％を約束するということができますが、民進党さんは百年間ずっと下がり続ける。五年ごとに財政検証しますから、そこからまた百年、延々と下がり続けるということなんです。ということで、悪いと言っているんじゃないです。これはそういう制度設計なので、制度設計の違いはありますが、お互い賃金が下がったときの対応をしておかないと将来推計した年金財政が維持できないということで、今回のようなことが起これば、同じように民進党さんも、いや、同じというよりかそれ以上下げなきゃいけませんから、年金カット法案だというふうに言われるわけでございます。ちなみに、民主党さんの年金案の中にはちゃんと書いてあるんです、それが。要するに、このみなし運用利回りが物価を下回ることがありますとちゃんと書いてあるんですね。ですから、御炯眼だなということを改めて私は皆様方にお伝えさせていただきたいと思います。大臣、今の話をお聞きになって、改めて、我々のが年金カット法案ではなくて、これは年金財政を将来に向かって確かなものにするための法案であるということに関して御発言をいただければありがたいと思います。
衆議院,厚生労働委員会,塩崎恭久,20161021,9,先ほどからお話が出ているように、年金というのは、今の若い世代が、働いておられなくて、引退されて年金をいただいていらっしゃる方々に仕送りをするという助け合いの仕組み、これが一つですが、言ってみれば、今の世代だけではなくて、将来の年金を受け取る世代、つまり今働いている人たち、この時間的な差のある、分かち合いというか、この仕組みをやらなきゃいけない。そういうことで、マクロ経済スライドも導入されてきていることを今先生に御説明をいただきました。今申し上げたように、また今先生から御指摘があったように、そうはいいながら、名目でも実質でも賃金が低下した場合についてのスライド制については、言ってみれば、動かさないという形でやってまいりました。ここについての宿題が残っていたということは、実は、社会保障・税一体改革大綱、これは民主党政権が閣議決定されたものですけれども、そこに「デフレ経済下におけるマクロ経済スライドの在り方について見直しを検討する。」これがまさに、未来の、将来世代への責任をどう果たしていくのかということについて民主党政権もしっかり問題意識を持っておられて、この宿題が残っていたのを、我々は粛々とこの宿題を果たすことによって、将来の世代と今の世代の年金をもらっていらっしゃる方々との間の分かち合いで将来の年金受け取りが減らないようにするということで、まさに未来への責任を果たすということで今回の法案を提出させていただいているということであります。もし、では、カットだということでやらないというならば、どういう代案があるのか、今まさに旧民主党の案を御説明いただきましたが、結局同じことを考えなければいけないということになるんだろうというふうに思います。
衆議院,厚生労働委員会,田村憲久,20161021,10,今回の法案は、旧民主党の年金法案に、賃金スライド法案に近づけた法律だということを改めて申し上げて、私の質問を終わらせていただきたいと思います。ありがとうございました。
